movie_title,content_rating,content_rating_id,genres,genres_encoded,runtime,original_release_date,tomatometer_status,tomatometer_rating,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
Dennis the Menace,PG,1,"Comedy, Kids & Family","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",96.0,1993-06-25,Rotten,27.0,9,7,19
The Dentist 2: Brace Yourself,R,3,Horror,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",99.0,1998-12-11,Rotten,0.0,0,0,0
The Departed,R,3,"Action & Adventure, Drama, Mystery & Suspense","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",152.0,2006-10-06,Certified-Fresh,91.0,60,254,26
Depraved,NR,5,"Horror, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",114.0,2019-09-13,Certified-Fresh,84.0,8,47,9
The Circle,NR,5,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",102.0,2014-11-14,Fresh,100.0,11,23,0
Derailed,R,3,"Drama, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",107.0,2005-11-11,Rotten,21.0,36,26,99
Derrida,NR,5,"Documentary, Musical & Performing Arts, Special Interest, Faith & Spirituality","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",85.0,2002-10-23,Fresh,82.0,13,28,6
Dersu Uzala,G,0,"Action & Adventure, Art House & International, Drama","[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",140.0,1975-08-02,Fresh,73.0,2,11,4
The Descent,R,3,Horror,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",99.0,2006-08-04,Certified-Fresh,85.0,37,153,26
Desert Bayou,NR,5,"Documentary, Special Interest","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",71.0,2007-10-05,Fresh,78.0,11,18,5
Desert Blue,R,3,"Comedy, Drama","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",90.0,1999-06-18,Rotten,37.0,5,7,12
Desert Dancer,PG-13,2,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",104.0,2015-04-10,Rotten,33.0,16,14,29
The Desert Fox,NR,5,"Action & Adventure, Classics, Drama","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",88.0,1951-10-17,Fresh,71.0,0,5,2
Desert Hearts,R,3,"Art House & International, Drama, Romance, Gay & Lesbian","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",96.0,1986-03-07,Fresh,95.0,4,21,1
The Desert Rats,NR,5,"Action & Adventure, Classics","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",88.0,1953-05-20,Fresh,83.0,0,5,1
Desert Saints,R,3,"Action & Adventure, Drama, Horror, Mystery & Suspense","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",90.0,2002-03-10,Rotten,29.0,1,2,5
Desierto,R,3,"Action & Adventure, Drama, Mystery & Suspense","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",90.0,2016-10-14,Fresh,63.0,19,57,34
Designing Woman,NR,5,"Classics, Comedy, Romance","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",118.0,1957-05-16,Fresh,82.0,1,9,2
Desk Set,G,0,"Classics, Comedy, Romance","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",103.0,1957-05-15,Fresh,100.0,5,23,0
Desperate Acts Of Magic,NR,5,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",86.0,2013-05-03,Fresh,60.0,4,6,4
Desperate Living,R,3,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",90.0,1977-12-31,Fresh,70.0,0,7,3
Desperate Measures,R,3,"Action & Adventure, Drama, Mystery & Suspense","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",100.0,1997-06-01,Rotten,19.0,7,6,25
Desperately Seeking Susan,PG-13,2,"Comedy, Drama, Romance","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",104.0,1985-01-01,Fresh,83.0,8,25,5
Despicable Me 2,PG,1,"Animation, Comedy, Kids & Family","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",98.0,2013-07-03,Certified-Fresh,75.0,43,139,46
Despicable Me 3,PG,1,"Animation, Comedy, Kids & Family","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",90.0,2017-06-30,Rotten,58.0,33,112,80
Despite The Falling Snow,PG-13,2,"Art House & International, Mystery & Suspense, Romance","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",93.0,2017-03-31,Rotten,9.0,10,2,20
Destination Tokyo,NR,5,"Action & Adventure, Classics, Drama","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",135.0,1943-01-01,Fresh,80.0,0,4,1
Destination Wedding,R,3,"Comedy, Drama, Romance","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",86.0,2018-08-31,Rotten,51.0,25,44,42
Destiny (Der müde Tod),NR,5,"Art House & International, Classics, Horror, Science Fiction & Fantasy","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",98.0,1924-07-06,Fresh,90.0,4,19,2
Destiny Turns on the Radio,R,3,"Action & Adventure, Comedy, Drama","[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",101.0,1995-04-28,Rotten,17.0,4,3,15
Destroy All Monsters,G,0,"Action & Adventure, Anime & Manga, Art House & International, Classics, Horror, Science Fiction & Fantasy","[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",88.0,1969-05-23,Fresh,75.0,1,6,2
Destroyer,R,3,Mystery & Suspense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",123.0,2018-12-25,Certified-Fresh,73.0,46,195,71
Destry Rides Again,NR,5,"Classics, Comedy, Western","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",94.0,1939-12-29,Fresh,96.0,3,24,1
Detachment,NR,5,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",97.0,2012-03-16,Rotten,57.0,25,41,31
The Detective,NR,5,"Classics, Drama, Mystery & Suspense","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",114.0,1968-05-28,Fresh,100.0,1,8,0
Detective Dee and the Mystery of the Phantom Flame,PG-13,2,"Action & Adventure, Art House & International, Mystery & Suspense","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",123.0,2011-09-02,Certified-Fresh,80.0,24,44,11
Detective Story,NR,5,"Classics, Drama, Mystery & Suspense","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",103.0,1951-11-01,Fresh,75.0,1,9,3
Detention,R,3,"Comedy, Horror","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",89.0,2012-04-13,Rotten,41.0,15,18,26
Detention Of The Dead,NR,5,"Comedy, Horror","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",87.0,2013-06-28,Rotten,57.0,1,4,3
Deterrence,R,3,"Drama, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",101.0,2000-03-10,Rotten,46.0,11,18,21
Detour,NR,5,"Classics, Cult Movies, Drama, Mystery & Suspense","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",69.0,1945-11-30,Fresh,100.0,5,29,0
Detour,R,3,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",97.0,2017-01-20,Fresh,65.0,7,20,11
Detroit,R,3,"Drama, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",143.0,2017-08-04,Certified-Fresh,82.0,51,246,54
Detroit 9000,R,3,"Action & Adventure, Cult Movies, Drama, Mystery & Suspense","[1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",110.0,1998-10-09,Rotten,25.0,3,2,6
Detroit Rock City,R,3,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",95.0,1999-08-13,Rotten,48.0,6,19,21
Detropia,NR,5,Documentary,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",90.0,2012-09-05,Certified-Fresh,86.0,20,36,6
Deuce Bigalow: Male Gigolo,R,3,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",88.0,1999-12-10,Rotten,22.0,20,17,59
Deuce Bigalow: European Gigolo,R,3,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",83.0,2005-08-12,Rotten,9.0,27,9,91
Deuces Wild,R,3,"Action & Adventure, Drama","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",97.0,2002-05-03,Rotten,3.0,23,2,73
Devil,PG-13,2,"Horror, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",80.0,2010-09-17,Rotten,50.0,13,49,49
The Devil and Miss Jones,NR,5,"Classics, Comedy, Drama, Romance","[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",92.0,1941-04-11,Fresh,100.0,0,8,0
The Devil Came on Horseback,NR,5,"Documentary, Special Interest","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",88.0,2007-07-25,Certified-Fresh,96.0,18,52,2
Devil in a Blue Dress,R,3,"Drama, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",102.0,1995-09-29,Certified-Fresh,88.0,17,52,7
The Devil's Advocate,R,3,"Action & Adventure, Drama, Horror, Mystery & Suspense","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",144.0,1997-10-17,Fresh,63.0,15,35,21
The Devil's Backbone (El Espinazo del diablo),R,3,"Art House & International, Drama, Mystery & Suspense","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",106.0,2001-11-21,Certified-Fresh,92.0,33,110,9
The Devil's Brigade,NR,5,"Action & Adventure, Classics, Drama","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",130.0,1968-01-01,Fresh,60.0,1,3,2
Devil's Due,R,3,Horror,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",90.0,2014-01-17,Rotten,18.0,14,10,46
Devil's Gate,NR,5,"Drama, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",95.0,2018-01-05,Rotten,38.0,4,6,10
Devil's Knot,NR,5,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",114.0,2014-05-09,Rotten,24.0,30,24,75
Devils on the Doorstep (Guizi lai le),NR,5,"Art House & International, Comedy, Drama","[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",162.0,2002-12-18,Fresh,91.0,4,10,1
The Devil's Own,R,3,"Action & Adventure, Drama, Mystery & Suspense","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",110.0,1997-03-26,Rotten,35.0,10,14,26
The Devil's Rejects,R,3,Horror,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",109.0,2005-07-22,Rotten,54.0,32,75,63
The Dhamma Brothers,NR,5,"Documentary, Special Interest","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",76.0,2008-04-11,Fresh,83.0,10,19,4
Dheepan,R,3,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",110.0,2016-05-06,Certified-Fresh,87.0,38,109,16
Mumbai Diaries,PG,1,"Art House & International, Drama","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100.0,2011-01-21,Fresh,65.0,12,17,9
Dhoom: 2,NR,5,"Action & Adventure, Art House & International, Mystery & Suspense","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",152.0,2006-11-23,Fresh,92.0,3,11,1
Diablo,R,3,"Mystery & Suspense, Western","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",83.0,2016-01-08,Rotten,19.0,4,4,17
Dial A Prayer,PG-13,2,"Comedy, Drama","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",98.0,2015-04-10,Fresh,71.0,1,5,2
Dial M for Murder,PG,1,"Classics, Mystery & Suspense","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",105.0,1954-05-29,Certified-Fresh,89.0,11,42,5
Diamonds Are Forever,PG,1,"Action & Adventure, Classics, Mystery & Suspense, Science Fiction & Fantasy","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",119.0,1971-12-17,Fresh,64.0,8,32,18
Diana,PG-13,2,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",113.0,2013-11-01,Rotten,8.0,39,8,98
Diana Kennedy: Nothing Fancy,NR,5,Documentary,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",73.0,2020-05-22,Fresh,100.0,8,33,0
Diana Vreeland: The Eye Has To Travel,PG-13,2,Documentary,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",77.0,2012-09-21,Certified-Fresh,94.0,34,67,4
Diane,NR,5,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",95.0,2019-03-29,Certified-Fresh,93.0,25,87,7
Diane,NR,5,Horror,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",82.0,2018-09-07,Fresh,88.0,3,7,1
Diary of the Dead,R,3,"Horror, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",95.0,2007-09-08,Fresh,62.0,35,80,50
Diary of a Chambermaid (Le journal d'une femme de chambre),NR,5,"Art House & International, Drama","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",97.0,1965-03-09,Fresh,87.0,2,20,3
Diary of a Mad Black Woman,PG-13,2,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",116.0,2005-02-25,Rotten,16.0,32,18,97
Diary of a Wimpy Kid,PG,1,"Comedy, Kids & Family","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",92.0,2010-03-19,Rotten,54.0,35,57,49
Diary of a Wimpy Kid 2: Rodrick Rules,PG,1,"Comedy, Drama, Kids & Family","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",95.0,2011-03-25,Rotten,47.0,33,47,53
Diary of a Wimpy Kid: Dog Days,PG,1,"Comedy, Kids & Family","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",94.0,2012-08-03,Rotten,52.0,26,39,36
Diary Of A Wimpy Kid: The Long Haul,PG,1,"Comedy, Kids & Family","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",91.0,2017-05-19,Rotten,18.0,24,13,59
The Diary of Anne Frank,PG,1,"Classics, Drama","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",156.0,1959-03-18,Fresh,79.0,3,15,4
The Diary of Ellen Rimbauer,R,3,"Drama, Horror, Mystery & Suspense, Television","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]",96.0,2003-05-12,Rotten,17.0,3,1,5
Dickie Roberts: Former Child Star,PG-13,2,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",99.0,2003-09-03,Rotten,22.0,36,27,94
Die Another Day,PG-13,2,"Action & Adventure, Mystery & Suspense","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",130.0,2002-11-22,Rotten,57.0,48,125,96
Die! Die! My Darling!,NR,5,"Art House & International, Classics, Horror, Mystery & Suspense","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",97.0,1965-01-01,Rotten,50.0,2,5,5
Die Fälschung (Circle of Deceit),R,3,"Art House & International, Drama","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",110.0,1981-01-01,Fresh,100.0,3,7,0
Die Hard,R,3,"Action & Adventure, Mystery & Suspense","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",131.0,1988-07-15,Certified-Fresh,94.0,17,72,5
Die Hard 2,R,3,"Action & Adventure, Mystery & Suspense","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",124.0,1990-07-02,Fresh,69.0,17,44,20
Die Hard: With a Vengeance,R,3,"Action & Adventure, Mystery & Suspense","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",128.0,1995-05-19,Rotten,59.0,18,43,30
"Die, Monster, Die!",PG-13,2,"Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",78.0,1965-10-27,Fresh,71.0,0,5,2
Die Wand (The Wall),NR,5,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",108.0,2013-05-31,Certified-Fresh,78.0,16,31,9
Dig!,R,3,"Documentary, Musical & Performing Arts, Special Interest","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",105.0,2004-10-08,Certified-Fresh,89.0,28,67,8
Dig Two Graves,NR,5,Horror,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",85.0,2017-03-24,Fresh,71.0,10,20,8
Diggers,R,3,"Comedy, Drama","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",89.0,2007-04-14,Fresh,70.0,21,39,17
Digging For Fire,R,3,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",83.0,2015-08-21,Fresh,66.0,24,44,24
Digging to China,PG,1,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",98.0,1998-09-11,Rotten,43.0,1,3,4
Digging Up the Marrow,NR,5,"Drama, Science Fiction & Fantasy","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",88.0,2015-02-20,Fresh,60.0,3,12,8
Diggstown,R,3,"Action & Adventure, Comedy, Drama","[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",98.0,1992-08-14,Fresh,60.0,1,9,6
Dil Bole Hadippa! (My Heart Goes Hooray!),PG,1,"Art House & International, Comedy, Musical & Performing Arts, Sports & Fitness","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",148.0,2009-09-13,Fresh,63.0,2,5,3
Dilili in Paris (Dilili à Paris),PG,1,"Animation, Art House & International, Kids & Family, Mystery & Suspense","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",95.0,2019-10-04,Fresh,61.0,4,14,9
Dim Sum: A Little Bit of Heart,PG,1,"Art House & International, Comedy","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",86.0,1985-08-09,Fresh,88.0,2,7,1
Dim Sum Funeral,R,3,"Art House & International, Comedy, Drama","[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",95.0,2008-11-08,Rotten,0.0,1,0,5
Diminished Capacity,NR,5,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",87.0,2008-07-04,Rotten,35.0,15,11,20
Diner,R,3,"Comedy, Drama","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",110.0,1982-04-02,Certified-Fresh,93.0,10,37,3
Dinner for Schmucks,PG-13,2,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",114.0,2010-07-30,Rotten,42.0,46,79,111
The Dinner Game (Le Dîner de cons),PG-13,2,"Art House & International, Comedy, Drama","[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",80.0,1999-07-16,Fresh,74.0,13,34,12
Dinner with Friends,R,3,"Comedy, Drama, Television","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",95.0,2001-08-11,Fresh,90.0,3,9,1
Dinosaur 13,PG,1,"Action & Adventure, Documentary, Drama, Special Interest","[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",106.0,2014-08-15,Fresh,73.0,20,36,13
Dinosaurs Alive! 3D,NR,5,"Action & Adventure, Documentary, Kids & Family, Special Interest","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",40.0,2007-03-30,Fresh,75.0,2,6,2
Dinosaurs: Giants of Patagonia,NR,5,"Animation, Documentary","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",40.0,2007-05-09,Fresh,100.0,3,7,0
Dinotasia,NR,5,"Documentary, Special Interest","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",83.0,2012-10-26,Rotten,25.0,4,2,6
Dior and I,R,3,"Documentary, Special Interest","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",90.0,2015-04-10,Certified-Fresh,84.0,26,61,12
Diplomacy,NR,5,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",88.0,2014-10-15,Certified-Fresh,94.0,20,47,3
