movie_title,content_rating,content_rating_id,genres,genres_encoded,runtime,original_release_date,tomatometer_status,tomatometer_rating,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
Tristan & Isolde,PG-13,2,"Drama, Science Fiction & Fantasy, Romance","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",126.0,2006-01-13,Rotten,31.0,36,38,83
Wild Side,NR,5,"Art House & International, Drama","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",94.0,2005-06-10,Fresh,63.0,4,10,6
A Tale of Two Pizzas,PG,1,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",82.0,2003-11-07,Rotten,38.0,5,3,5
Running Scared,R,3,"Action & Adventure, Drama, Mystery & Suspense","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",121.0,2006-02-24,Rotten,41.0,39,54,77
Going the Distance,R,3,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",93.0,2004-08-20,Rotten,0.0,2,0,5
Ultraviolet,PG-13,2,"Action & Adventure, Drama, Horror, Science Fiction & Fantasy","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",88.0,2006-03-03,Rotten,8.0,21,7,76
Home of the Brave,R,3,"Action & Adventure, Documentary, Drama, Special Interest","[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",75.0,2004-05-11,Fresh,93.0,7,14,1
Arthur and the Invisibles (Arthur and the Minimoys),PG,1,"Animation, Kids & Family, Science Fiction & Fantasy","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",94.0,2007-01-12,Rotten,22.0,30,20,72
Malevolence,R,3,Horror,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",90.0,2004-09-10,Rotten,33.0,4,6,12
Eternal,R,3,"Horror, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",108.0,2004-08-26,Rotten,21.0,10,7,27
